positnSn,positnNm,positnRgnNm,positnLotnoAddr,positnRdnmAddr,positnPstnAddExpln,positnPstnLat,positnPstnLot,positnIntdcCn,positnCnvncFcltSrvcExpln,prkMthdExpln,monSalsHrExplnCn,tuesSalsHrExplnCn,wedSalsHrExplnCn,thurSalsHrExplnCn,friSalsHrExplnCn,satSalsHrExplnCn,sunSalsHrExplnCn,lhldySalsHrExplnCn,lhldyDyoffCn,tmprLhldyCn,dyoffBgndeCn,dyoffEnddtCn,dyoffRsnExpln,bscTelnoCn,rprsTelnoCn,telnoExpln,indivTelnoCn,lnkgHmpgUrlAddr,indivRelSrchListCn,comRelSrwrdListCn,clctItemCn,etcMttrCn
11,중산추만공원,고양시,경기도 고양시 일산동구 중산동 1600,고양시 일산동구 탄중로417번길 30-2,중산추만공원 내 정자 앞,37.6857643,126.780122,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 106% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,주차불가,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2713 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab10.jsp,"고양 자원순환가게, 중산1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
12,중산2동 행정복지센터,고양시,경기도 고양시 일산동구 중산동 1806,고양시 일산동구 하늘마을1로 2,"중산2동 행정복지센터(임시청사) 
주차장 입구 옆 공원",37.674501,126.7860237,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 107% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,임사청사 주차불가,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2714 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab11.jsp,"고양 자원순환가게, 중산2동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
13,풍산동 행정복지센터,고양시,경기도 고양시 일산동구 풍동 349-16,고양시 일산동구 숲속마을1로 36,풍산동 행정복지센터 주민자치회건물 앞,37.6641287,126.799786,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 109% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차 가능,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2716 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab13.jsp,"고양 자원순환가게, 풍산동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
14,가좌동 행정복지센터,고양시,경기도 고양시 일산서구 가좌동 308-13,고양시 일산서구 송산로374번길 7,"가좌동 행정복지센터 앞(임시청사) 
(농협건물 2층)",37.6845727,126.7208591,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 113% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,임시청사→농협주차장(유료),휴무,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2720 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab17.jsp,"고양 자원순환가게, 가좌동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
15,대화동 행정복지센터,고양시,경기도 고양시 일산서구 대화동 2035,고양시 일산서구 일산로 668,대화동 행정복지센터 옆 길,37.6829527,126.7550975,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 114% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차 가능,휴무,휴무,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2721 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab18.jsp,"고양 자원순환가게, 대화동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
16,대화동 장촌초 후문,고양시,경기도 고양시 일산서구 대화동 2273-5,고양시 일산서구 호수로856번길 37-7,장촌초등학교 후문 앞 재미공작소 ,37.672274,126.7484216,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 115% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,주차불가,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2722 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab19.jsp,"고양 자원순환가게, 재미공작소","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
17,일산1동 행정복지센터,고양시,경기도 고양시 일산서구 일산동 963-6,고양시 일산서구 원일로 55,일산1동 행정복지센터 앞,37.6871626,126.7685549,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 116% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차 가능,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2723 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab20.jsp,"고양 자원순환가게, 일산1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
18,탄현1동 행정복지센터,고양시,경기도 고양시 일산서구 탄현동 1488-3,고양시 일산서구 홀트로 36,탄현1동 행정복지센터 옆,37.6942896,126.7684312,"가정에서 나오는 고품질 재활용품을 깨끗하게 가져오면 현금 또는 지역화폐로 유가보상해주는 고양자원순환가게입니다.

분리배출된 고품질 재활용품은 117% 재활용을 목표로 하며,
기후위기 대응 및 자원순환 활성화에 기여합니다.",,행정복지센터 주차가능,휴무,휴무,11:00 ~ 14:00,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,,,,"031-8075-2706~2724 
고양시청 자원순환과 자원재활용팀",031-8075-2706,고양시청 자원순환과 자원재활용팀,,https://www.goyang.go.kr/www/www03/www03_3/www03_3_2/www03_3_2_tab21.jsp,"고양 자원순환가게, 탄현1동","고양 자원순환가게, 고품질 재활용품 유가보상제, 재활용, 분리배출, 투명페트병, 캔, 자원순환, 순환경제","투명페트병
유색페트병
판PET
플라스틱(PE)
종이박스
알루미늄 캔
철 캔","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
19,야탑그린센터re100,성남시,경기도 성남시 분당구 야탑동 404 재활용선별장 내 스마트그린센터 1층,"분당구 탄천로 247, 재활용선별장 내 스마트그린센터 1층","분당구 재활용센터 맞은편, 성남시재활용선별장 입구 옆에 있는 스마트그린센터 1층에 있습니다.",37.413494,127.1188735,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 성남자원순환가게re100입니다.
모인 자원은 100% 재활용을 목표로 하며,
성남자원순환가게re121은 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.

세부정보: 성남시 자원순환 플랫폼
https://recycle.seongnam.go.kr/","단체 이용 가능, 예약, 대기공간, 남/녀 화장실 구분, 유아의자",주차가능(무료),10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,휴무,휴무,휴무,전체휴무,전체휴무,,,,,031-707-3202,스마트그린센터,,https://recycle.seongnam.go.kr/,"스마트 그린센터, 성남스마트그린센터, 탄천로247","성남시 자원순환,성남자원순환가게re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
20,운중re100,성남시,경기도 성남시 분당구 운중동 1027 7번지,없음,뫼루니육교 운중천 방향 1분(40m),37.390341,127.082692,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 성남자원순환가게re100입니다.
모인 자원은 100% 재활용을 목표로 하며,
성남자원순환가게re115은 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.

세부정보: 성남시 자원순환 플랫폼
https://recycle.seongnam.go.kr/","단체 이용 가능, 예약","운증re100 맞은편 나눔주차장 이용가능
(무료)",09:00 ~ 12:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"경기도 성남시 자원순환과(031-729-3203, 3220)",031-729-3203,경기도 성남시 자원순환과,,https://recycle.seongnam.go.kr/,,"성남시 자원순환,성남자원순환가게re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
21,이마트분당re100,성남시,경기도 성남시 분당구 정자동 211 이마트 분당점 6층,"분당구 불정로 134, 6층 이마트 분당점 6층 주차장",이마트 분당점 6층 주차장,37.3590108,127.1194002,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 성남자원순환가게re100입니다.
모인 자원은 100% 재활용을 목표로 하며,
성남자원순환가게re113은 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.

세부정보: 성남시 자원순환 플랫폼
https://recycle.seongnam.go.kr/","단체 이용 가능, 예약",이마트분당점 주차가능(30분 무료),휴무,09:50 ~ 17:00,휴무,09:50 ~ 17:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"경기도 성남시 자원순환과(031-729-3203, 3218)",031-729-3203,경기도 성남시 자원순환과,,https://recycle.seongnam.go.kr/,이마트분당정,"성남시 자원순환,성남자원순환가게re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
22,정자동re100,성남시,경기도 성남시 분당구 정자동 79 3번지,없음,성마태오성당 앞,37.3715264,127.1108388,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 성남자원순환가게re100입니다.
모인 자원은 100% 재활용을 목표로 하며,
성남자원순환가게re116은 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.

세부정보: 성남시 자원순환 플랫폼
https://recycle.seongnam.go.kr/","단체 이용 가능, 예약",주차불가,09:00 ~ 12:00,휴무,휴무,휴무,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"경기도 성남시 자원순환과(031-729-3203, 3221)",031-729-3203,경기도 성남시 자원순환과,,https://recycle.seongnam.go.kr/,성마태오성당,"성남시 자원순환,성남자원순환가게re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
23,단대논골re100,성남시,경기도 성남시 수정구 단대동 62,"수정구 논골로 11번길 8-3, 성남시민방위안전체험센터 앞",성남시민방위안전체험센터 앞,37.4555695,127.159145,"가정에서 나오는 깨끗한 재활용품을 가져오면 현금으로 전환할 수 있는 포인트를 드리는 성남자원순환가게re100입니다.
모인 자원은 100% 재활용을 목표로 하며,
성남자원순환가게re117은 기후위기 대응 및 순환경제(자원순환) 활성화에 기여합니다.

세부정보: 성남시 자원순환 플랫폼
https://recycle.seongnam.go.kr/","단체 이용 가능, 예약",성남시민방위안전체험센터 주차장 이용가능(무료),휴무,휴무,휴무,09:00 ~ 12:00,휴무,휴무,휴무,휴무,전체휴무,전체휴무,,,,"경기도 성남시 자원순환과(031-729-3203, 3222)",031-729-3203,경기도 성남시 자원순환과,,https://recycle.seongnam.go.kr/,민방위안전체험센터,"성남시 자원순환,성남자원순환가게re100,재활용품 보상,플라스틱,비닐,캔,분리배출,자원순환,순환경제,재활용","(플라스틱류)
무색페트병
PET
other
PE
PP
PS
(비닐류)
비닐
(캔류)
알루미늄
철","품목 및 단가 변경 가능
근로자의 날 등 공휴일(임시공휴일 포함)은 휴무"
